NHL,Player,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025,2025-2026
F,"Draisaitl, Leon",8500000,8500000,8500000,8500000,8500000,8500000,8500000,8500000,UFA
F,"Horvat, Bo",5500000,5500000,5500000,5500000,5500000,5500000,UFA,,
F,"Zibanejad, Mika",5350000,5350000,5350000,5350000,5350000,UFA,,,
F,"Boeser, Brock",925000,925000,925000,RFA,,,,,
F,"Gallagher, Brendan",3750000,3750000,3750000,3750000,UFA,,,,
F,"Gaudreau, Johnny",6750000,6750000,6750000,6750000,6750000,UFA,,,
F,"Kane, Patrick",10500000,10500000,10500000,10500000,10500000,10500000,UFA,,
F,"Kreider, Chris",4625000,4625000,4625000,UFA,,,,,
F,"Landeskog, Gabriel",5571428,5571428,5571428,5571428,5571428,UFA,,,
F,"Couturier, Sean",4333333,4333333,4333333,4333333,4333333,UFA,,,
F,"Karlsson, William",1000000,RFA,,,,,,,
F,"Ritchie, Brett",1750000,1750000,RFA,,,,,,
F,"Tatar, Tomas",5300000,5300000,5300000,5300000,UFA,,,,
F,"Virtanen, Jake",894167,RFA,,,,,,,
F,"Hartnell, Scott",1000000,UFA,,,,,,,
F,"Stewart, Chris",1150000,UFA,,,,,,,
F,"Laughton, Scott",962500,962500,RFA,,,,,,
F,"Necas, Martin",925000,925000,925000,RFA,,,,,
F,"Leipsic, Brendan",650000,650000,650000,RFA,,,,,
F,"Donskoi, Joonas",1900000,1900000,1900000,UFA,,,,,
,,,,,,,,,,
D,"Chabot, Thomas",863333,863333,863333,863333,RFA,,,,
D,"Hanifin, Noah",925000,RFA,,,,,,,
D,"Jones, Seth",5400000,5400000,5400000,5400000,5400000,UFA,,,
D,"Murray, Ryan",2825000,RFA,,,,,,,
D,"Santini, Steven",925000,RFA,,,,,,,
D,"Trouba, Jacob",2812500,RFA,,,,,,,
D,"Ellis, Ryan",2500000,2500000,UFA,,,,,,
D,"McCoshen, Ian",925000,925000,RFA,,,,,,
,,,,,,,,,,
G,"Jones, Martin",3000000,5750000,5750000,5750000,5750000,5750000,5750000,UFA,
G,"Markstrom, Jacob",3666667,3666667,3666667,UFA,,,,,
,,,,,,,,,,
Totals,,95178928,86397261,80259761,67568094,57654761,30250000,14250000,8500000,0
,,,,,,,,,,
Minors,Player,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025,2025-2026
F,"Trenin, Yakov","730,833","730,833","730,833",RFA,,,,,
D,"Guhle, Brendan","697,500","697,500","697,500",RFA,,,,,
D,"Stanley, Logan","894,166","894,166","894,166",RFA,,,,,
F,"Trenin, Yakov","730,833","730,833","730,833",RFA,,,,,
D,"Guhle, Brendan","697,500","697,500","697,500",RFA,,,,,
D,"Stanley, Logan","894,166","894,166","894,166",RFA,,,,,
G,"Hart, Carter","761,666","761,666","761,666",RFA,,,,,
G,"Husso, Ville","847,500","847,500",RFA,,,,,,
