Skaters,,,,,,,,,
Pos,Player,,,,,,Team,2018,2019
C,Crosby, Sidney,, Sidney Crosby,,,PIT,,
C,Trocheck, Vincent,, Vincent Trocheck,,,FLA,,
C,Wennberg, Alexander,, Alexander Wennberg,,,CBJ,,
W,Bratt, Jesper,, Jesper Bratt,,,NJ,,
W,Duclair, Anthony,, Anthony Duclair,,,ARI,,
W,Foligno, Marcus,, Marcus Foligno,,,MIN,,
W,Johansson, Marcus,, Marcus Johansson,,,NJ,,
W,Palmieri, Kyle,, Kyle Palmieri,,,NJ,,
W,Wheeler, Blake,, Blake Wheeler,,,WPG,,
F,Byron, Paul,, Paul Byron,,,MON,,
F,Jarnkrok, Calle,, Calle Jarnkrok,,,NSH,,
F,Koivu, Mikko,, Mikko Koivu,,,MIN,,
F,Silfverberg, Jakob,, Jakob Silfverberg,,,ANA,,
F,Smith, Zack,, Zack Smith,,,OTT,,
D,DeAngelo, Tony,, Tony DeAngelo,,,NYR,,
D,Gardiner, Jake,, Jake Gardiner,,,TOR,,
D,Goligoski, Alex,, Alex Goligoski,,,ARI,,
D,Gudas, Radko,, Radko Gudas,,,PHI,,
D,Krug, Torey,, Torey Krug,,,BOS,,
D,Slavin, Jaccob,, Jaccob Slavin,,,CAR,,
Enf,Paquette, Cedric,, Cedric Paquette,,,TB,,
PK,Frolik, Michael,, Michael Frolik,,,CGY,,
W,Baertschi, Sven,, Sven Baertschi,,,VAN,,
W,Leivo, Josh,, Josh Leivo,,,TOR,,
D,Honka, Julius,, Julius Honka,,,DAL,,
C,Cirelli, Anthony,, Anthony Cirelli,,,TB,,
W,Lind, Kole,, Kole Lind,,,VAN,,
W,Shipachyov, Vadim,, Vadim Shipachyov,,,VGK,,
D,Larsson, Jacob,, Jacob Larsson,,,ANA,,
D,Lauzon, Jeremy,, Jeremy Lauzon,,,BOS,,
Enf,Fabbro, Dante,, Dante Fabbro,,,NSH,,
Totals,,,,,,,,,
,,,,,,,,,
Goalies,,,,,,,,,
Pos,Player,,,,,,Team,,
G,Crawford, Corey,,,,,CHI,,
G,Rask, Tuukka,,,,,BOS,,
G,Budaj, Peter,,,,,TB,,
G,Oettinger, Jake,,,,,DAL,,
Totals,,,,,,,,,
